n	x	y	T(x,y)	Erro_Absoluto
19	6.2222	4.3333	62.0988	1.259259
19	6.2222	4.6667	60.2469	1.259259
19	6.2222	5.0000	57.9506	1.259259
19	6.2222	5.3333	55.2099	1.259259
19	6.2222	5.6667	52.0247	1.259259
19	6.2222	6.0000	48.3951	1.259259
19	6.6667	0.0000	40.8889	1.259259
19	6.6667	0.3333	45.1111	1.259259
19	6.6667	0.6667	48.8889	1.259259
19	6.6667	1.0000	52.2222	1.259259
19	6.6667	1.3333	55.1111	1.259259
19	6.6667	1.6667	57.5556	1.259259
19	6.6667	2.0000	59.5556	1.259259
19	6.6667	2.3333	61.1111	1.259259
19	6.6667	2.6667	62.2222	1.259259
19	6.6667	3.0000	62.8889	1.259259
19	6.6667	3.3333	63.1111	1.259259
19	6.6667	3.6667	62.8889	1.259259
19	6.6667	4.0000	62.2222	1.259259
19	6.6667	4.3333	61.1111	1.259259
19	6.6667	4.6667	59.5556	1.259259
19	6.6667	5.0000	57.5556	1.259259
19	6.6667	5.3333	55.1111	1.259259
19	6.6667	5.6667	52.2222	1.259259
19	6.6667	6.0000	48.8889	1.259259
19	7.1111	0.0000	35.6543	1.259259
19	7.1111	0.3333	40.1728	1.259259
19	7.1111	0.6667	44.2469	1.259259
19	7.1111	1.0000	47.8765	1.259259
19	7.1111	1.3333	51.0617	1.259259
19	7.1111	1.6667	53.8025	1.259259
19	7.1111	2.0000	56.0988	1.259259
19	7.1111	2.3333	57.9506	1.259259
19	7.1111	2.6667	59.3580	1.259259
19	7.1111	3.0000	60.3210	1.259259
19	7.1111	3.3333	60.8395	1.259259
19	7.1111	3.6667	60.9136	1.259259
19	7.1111	4.0000	60.5432	1.259259
19	7.1111	4.3333	59.7284	1.259259
19	7.1111	4.6667	58.4691	1.259259
19	7.1111	5.0000	56.7654	1.259259
19	7.1111	5.3333	54.6173	1.259259
19	7.1111	5.6667	52.0247	1.259259
19	7.1111	6.0000	48.9877	1.259259
